;;;;;;bawang putih, bawang merah, kemiri, kunyit, daun bawang, bawang goreng, daun salam, serai, daun jeruk
;;;;;;garam cap kapal
;;;;;;totole kaldu jamur
;;;;;Ayam Goreng;ayam potong
;;;;;;bawang putih, bawang merah, jahe
;;;;;;garam cap kapal
;;;;;Dimsum ayam;ayam fillet
;;;;;;kulit dimsum
;;;;;;ladaku
;;;;;;garam cap kapal
;;;;;Ayam Bakar;ayam potong
;;;;;;kecap bango
;;;;;;bawang putih, daun slam, serai, gula merah, kemiri, lengkuas
;;;;;Pangsit Ayam;ayam fillet
;;;;;;kulit pangsit
;;;;;;ladaku
;;;;;;totole kaldu jamur
;;;;;;bawang putih, bawang bombay, daun bawang
;;;;;;garam cap kapal
;;;;;Abon Ayam;ayam fillet
;;;;;;ladaku
;;;;;;totole kaldu jamur
;;;;;;bawang putih, bawang bombay, daun bawang
;;;;;;garam cap kapal
;;;;;Telur Balado;telur ayam
;;;;;;totole kaldu jamur
;;;;;;garam cap kapal
;;;;;;cabe merah besar, bawang putih, bawang, merah, tomat, gula jawa
;;;;;;kecap bango
;;;;;Telur Ceplok;telur ayam
;;;;;;garam cap kapal
;;;;;Nugget telur;telur ayam
;;;;;;tepung panir
;;;;;;ladaku
;;;;;;totole kaldu jamur
;;;;;;tepung terigu
;;;;;;bawang putih,daun bawang
;;;;;Fuyunghai;telur ayam
;;;;;;ladaku
;;;;;;totole kaldu jamur
;;;;;;bawang putih, bawang bombay, gula pasir, daun bawang, wortel
;;;;;;dalmonte saus tomat
;;;;;;dalmonte saus pedas
;;;;;;garam cap kapal
;;;;;Telur Bacem;telur ayam
;;;;;;bawang putih, bawang merah, serai
;;;;;;totole kaldu jamur
;;;;;;kecap bango
;;;;;;garam cap kapal
;;;;;Telur kecap;telur ayam
;;;;;;bawang putih, bawang merah, serai
;;;;;;totole kaldu jamur
;;;;;;kecap bango
;;;;;;garam cap kapal
;;;;;Lele Krispy;lele
;;;;;;tepung terigu
;;;;;;ladaku
;;;;;;bawang putih bubuk
;;;;;;soda kue
;;;;;;minyak goreng sunco
;;;;;Telur Garangasem;telur ayam
;;;;;;gula pasir, gula jawa, bawnag merah, bawang putih, cabe merah besar, cabe hijau, tomat hijau, daun salam, daun jeruk, bawang goreng, lengkuas, serai
;;;;;;garam cap kapal
;;;;;Daging Rendang;
