"Bahan Baku,Satuan,Harga/Unit,Stok Saat Ini,Gizi (per 100g),Status"
"Indomie Goreng,Karton,118000.0,16.0,,"
"Jagung,Kg,10500.0,40.8,,"
"Jagung Manis,Kg,12000.0,222.2,,"
"Jahe,Kg,26100.0,4.5,,"
"Jamur Kuping,Kg,30000.0,30.0,,"
"Jamur Tiram,Kg,23000.0,30.1,,"
"Jeruk,Buah,,5.0,,"
"Jeruk,Kg,21000.0,696.6,,"
"Jeruk Manis,Kg,22000.0,651.7,,"
"Jeruk Santang,Krat,165000.0,1.0,,"
"Jinten,Kg,45000.0,0.25,,"
"Kacang Ijo,Kg,28000.0,1.0,,"
"Kacang Polong,Kg,72500.0,6.5,,"
"Kacang Tanah,Kg,44000.0,70.1,,"
"Kaldu Jamur,Pcs,43333.333333333336,7.0,,"
"Kaldu Jamur Totole,Pcs,58000.0,18.0,,"
"Kancang Panjang,Kg,10000.0,20.0,,"
"Kapur Sirih,Bks,2500.0,2.0,,"
"Kapulaga,Renteng,32000.0,2.0,,"
"Kara,Dus,252000.0,2.0,,"
"Kayu Manis,Renteng,32000.0,2.0,,"
"Kecap Asin,Btl Bsr,29000.0,3.0,,"
"Kecap Bango,Btl Bsr,27000.0,2.0,,"
"Kecap Bango,Pouch,45750.0,50.0,,"
"Kecap Extra,Botol,31200.0,30.0,,"
"Kecap Extra,Botol Besar,38000.0,5.0,,"
"Kecap Ikan,Botol,58000.0,2.0,,"
"Kecap Inggris,Botol,43250.0,8.0,,"
"Kecap Kuda,Botol,38000.0,2.0,,"
"Kecap Manis,Botol,38000.0,1.0,,"
"Kecap Manis Extra 1 Liter,Botol,38000.0,3.0,,"
"Kecap Sawi,Botol,23125.0,8.0,,"
"Keju Slince,,,,,"
"Kelengkeng,Krat,463333.3333333333,23.0,,"
"Kembang Kol,Kg,25000.0,42.9,,"
"Kembang Kol,Ons,9500.0,5.95,,"
"Kemiri,Kg,45000.0,3.0,,"
"Kencur,Kg,52000.0,0.5,,"
"Kentang,Kg,15700.0,170.1,,"
"Kentang Frozen,Kg,37500.0,59.0,,"
"Kentuky,Pcs,5000.0,102.0,,"
"Ketumbar Bubuk,Dus,"
